source_file,Water Control Zone,Station,Dates,monitoring_period,monitoring_start_year,temperature,salinity,dissolved_oxygen_mg_l,turbidity,suspended_solids,chlorophyll_a,ammonia_nitrogen,total_inorganic_nitrogen
marine-historical-2012-en.csv,Junk Bay,JM4,2012-09-07,2012-13,2012,28.7,30.0,4.8,1.8,2.2,1.3,0.16,0.32
marine-historical-2012-en.csv,Junk Bay,JM4,2012-10-04,2012-13,2012,27.7,32.0,5.0,3.1,4.0,1.1,0.13,0.24
marine-historical-2012-en.csv,Junk Bay,JM4,2012-11-02,2012-13,2012,25.2,32.5,5.7,2.8,3.1,0.5,0.048,0.17
marine-historical-2012-en.csv,Junk Bay,JM4,2012-12-08,2012-13,2012,21.2,32.8,5.8,2.1,1.9,0.8,0.062,0.25
marine-historical-2012-en.csv,Mirs Bay,MM1,2012-01-13,2011-12,2011,17.0,31.2,8.3,2.5,4.0,13.0,0.07,0.21
marine-historical-2012-en.csv,Mirs Bay,MM1,2012-02-06,2011-12,2011,16.3,31.0,7.3,3.0,3.0,1.5,0.07,0.25
marine-historical-2012-en.csv,Mirs Bay,MM1,2012-03-21,2011-12,2011,19.2,30.3,8.8,1.6,2.0,5.9,0.089,0.39
marine-historical-2012-en.csv,Mirs Bay,MM1,2012-04-19,2012-13,2012,22.4,30.2,7.6,2.0,1.4,0.7,0.12,0.23
marine-historical-2012-en.csv,Mirs Bay,MM1,2012-05-14,2012-13,2012,27.0,29.8,7.5,1.6,1.9,4.4,0.078,0.16
marine-historical-2012-en.csv,Mirs Bay,MM1,2012-06-25,2012-13,2012,28.4,29.6,8.5,2.6,4.1,10.0,0.045,0.11
marine-historical-2012-en.csv,Mirs Bay,MM1,2012-07-18,2012-13,2012,29.5,30.5,9.6,2.1,4.1,9.3,0.044,0.05
marine-historical-2012-en.csv,Mirs Bay,MM1,2012-08-22,2012-13,2012,28.7,31.4,5.7,1.5,3.9,14.0,0.069,0.08
marine-historical-2012-en.csv,Mirs Bay,MM1,2012-09-24,2012-13,2012,28.5,31.8,4.7,3.0,3.1,11.0,0.021,0.03
marine-historical-2012-en.csv,Mirs Bay,MM1,2012-10-17,2012-13,2012,27.6,32.0,6.2,2.9,3.3,6.7,0.043,0.06
marine-historical-2012-en.csv,Mirs Bay,MM1,2012-11-19,2012-13,2012,24.2,32.3,6.0,1.9,6.9,2.7,0.065,0.14
marine-historical-2012-en.csv,Mirs Bay,MM1,2012-12-12,2012-13,2012,20.5,31.9,8.0,1.6,2.0,6.7,0.07,0.23
marine-historical-2012-en.csv,Mirs Bay,MM13,2012-01-16,2011-12,2011,16.0,31.2,7.9,2.4,2.0,1.2,0.016,0.27
